,term,crn,location,day,start,end
0,Summer2017,57138,DSB 112,M,2017-05-22T18:00:00,2017-05-22T21:30:00
1,Summer2017,57138,DSB 112,W,2017-05-24T18:00:00,2017-05-24T21:30:00
2,Summer2017,57138,DSB 112,W,2017-05-31T18:00:00,2017-05-31T21:30:00
3,Summer2017,57138,DSB 112,M,2017-06-05T18:00:00,2017-06-05T21:30:00
4,Summer2017,57138,DSB 112,W,2017-06-07T18:00:00,2017-06-07T21:30:00
5,Summer2017,57138,DSB 112,M,2017-06-12T18:00:00,2017-06-12T21:30:00
6,Summer2017,57138,DSB 112,W,2017-06-14T18:00:00,2017-06-14T21:30:00
7,Summer2017,57138,DSB 112,M,2017-06-19T18:00:00,2017-06-19T21:30:00
8,Summer2017,57138,DSB 112,W,2017-06-21T18:00:00,2017-06-21T21:30:00
9,Summer2017,57138,DSB 112,M,2017-06-26T18:00:00,2017-06-26T21:30:00
10,Summer2017,57138,DSB 112,W,2017-06-28T18:00:00,2017-06-28T21:30:00
11,Summer2017,57138,DSB 112,M,2017-05-22T18:00:00,2017-05-22T21:30:00
12,Summer2017,57138,DSB 112,W,2017-05-24T18:00:00,2017-05-24T21:30:00
13,Summer2017,57138,DSB 112,W,2017-05-31T18:00:00,2017-05-31T21:30:00
14,Summer2017,57138,DSB 112,M,2017-06-05T18:00:00,2017-06-05T21:30:00
15,Summer2017,57138,DSB 112,W,2017-06-07T18:00:00,2017-06-07T21:30:00
16,Summer2017,57138,DSB 112,M,2017-06-12T18:00:00,2017-06-12T21:30:00
17,Summer2017,57138,DSB 112,W,2017-06-14T18:00:00,2017-06-14T21:30:00
18,Summer2017,57138,DSB 112,M,2017-06-19T18:00:00,2017-06-19T21:30:00
19,Summer2017,57138,DSB 112,W,2017-06-21T18:00:00,2017-06-21T21:30:00
20,Summer2017,57138,DSB 112,M,2017-06-26T18:00:00,2017-06-26T21:30:00
21,Summer2017,57138,DSB 112,W,2017-06-28T18:00:00,2017-06-28T21:30:00
22,Summer2017,57138,DSB 112,R,2017-06-01T18:00:00,2017-06-01T21:30:00
23,Summer2017,57139,DSB 112,M,2017-07-10T18:00:00,2017-07-10T21:30:00
24,Summer2017,57139,DSB 112,W,2017-07-12T18:00:00,2017-07-12T21:30:00
25,Summer2017,57139,DSB 112,M,2017-07-17T18:00:00,2017-07-17T21:30:00
26,Summer2017,57139,DSB 112,W,2017-07-19T18:00:00,2017-07-19T21:30:00
