,term,crn,location,day,start,end
0,Summer2018,58111,DSB 112,M,2018-05-21T18:00:00,2018-05-21T21:30:00
1,Summer2018,58111,DSB 112,W,2018-05-23T18:00:00,2018-05-23T21:30:00
2,Summer2018,58111,DSB 112,W,2018-05-30T18:00:00,2018-05-30T21:30:00
3,Summer2018,58111,DSB 112,M,2018-06-04T18:00:00,2018-06-04T21:30:00
4,Summer2018,58111,DSB 112,W,2018-06-06T18:00:00,2018-06-06T21:30:00
5,Summer2018,58111,DSB 112,M,2018-06-11T18:00:00,2018-06-11T21:30:00
6,Summer2018,58111,DSB 112,W,2018-06-13T18:00:00,2018-06-13T21:30:00
7,Summer2018,58111,DSB 112,M,2018-06-18T18:00:00,2018-06-18T21:30:00
8,Summer2018,58111,DSB 112,W,2018-06-20T18:00:00,2018-06-20T21:30:00
9,Summer2018,58111,DSB 112,M,2018-06-25T18:00:00,2018-06-25T21:30:00
10,Summer2018,58111,DSB 112,W,2018-06-27T18:00:00,2018-06-27T21:30:00
11,Summer2018,58111,DSB 106,M,2018-05-21T18:00:00,2018-05-21T21:30:00
12,Summer2018,58111,DSB 106,W,2018-05-23T18:00:00,2018-05-23T21:30:00
13,Summer2018,58111,DSB 106,W,2018-05-30T18:00:00,2018-05-30T21:30:00
14,Summer2018,58111,DSB 106,M,2018-06-04T18:00:00,2018-06-04T21:30:00
15,Summer2018,58111,DSB 106,W,2018-06-06T18:00:00,2018-06-06T21:30:00
16,Summer2018,58111,DSB 106,M,2018-06-11T18:00:00,2018-06-11T21:30:00
17,Summer2018,58111,DSB 106,W,2018-06-13T18:00:00,2018-06-13T21:30:00
18,Summer2018,58111,DSB 106,M,2018-06-18T18:00:00,2018-06-18T21:30:00
19,Summer2018,58111,DSB 106,W,2018-06-20T18:00:00,2018-06-20T21:30:00
20,Summer2018,58111,DSB 106,M,2018-06-25T18:00:00,2018-06-25T21:30:00
21,Summer2018,58111,DSB 106,W,2018-06-27T18:00:00,2018-06-27T21:30:00
22,Summer2018,58111,DSB 106,R,2018-05-31T18:00:00,2018-05-31T21:30:00
23,Summer2018,58112,DSB 111,M,2018-07-09T18:00:00,2018-07-09T21:30:00
24,Summer2018,58112,DSB 111,W,2018-07-11T18:00:00,2018-07-11T21:30:00
25,Summer2018,58112,DSB 111,M,2018-07-16T18:00:00,2018-07-16T21:30:00
26,Summer2018,58112,DSB 111,W,2018-07-18T18:00:00,2018-07-18T21:30:00
27,Summer2018,58112,DSB 111,M,2018-07-23T18:00:00,2018-07-23T21:30:00
28,Summer2018,58112,DSB 111,W,2018-07-25T18:00:00,2018-07-25T21:30:00
29,Summer2018,58112,DSB 111,M,2018-07-30T18:00:00,2018-07-30T21:30:00
30,Summer2018,58112,DSB 111,W,2018-08-01T18:00:00,2018-08-01T21:30:00
31,Summer2018,58112,DSB 111,M,2018-08-06T18:00:00,2018-08-06T21:30:00
32,Summer2018,58112,DSB 111,W,2018-08-08T18:00:00,2018-08-08T21:30:00
33,Summer2018,58112,DSB 111,M,2018-08-13T18:00:00,2018-08-13T21:30:00
34,Summer2018,58201,DSB 104,M,2018-05-21T18:00:00,2018-05-21T21:30:00
35,Summer2018,58201,DSB 104,W,2018-05-23T18:00:00,2018-05-23T21:30:00
36,Summer2018,58201,DSB 104,W,2018-05-30T18:00:00,2018-05-30T21:30:00
37,Summer2018,58201,DSB 104,M,2018-06-04T18:00:00,2018-06-04T21:30:00
38,Summer2018,58201,DSB 104,W,2018-06-06T18:00:00,2018-06-06T21:30:00
39,Summer2018,58201,DSB 104,M,2018-06-11T18:00:00,2018-06-11T21:30:00
40,Summer2018,58201,DSB 104,W,2018-06-13T18:00:00,2018-06-13T21:30:00
41,Summer2018,58201,DSB 104,M,2018-06-18T18:00:00,2018-06-18T21:30:00
42,Summer2018,58201,DSB 106,M,2018-05-21T08:30:00,2018-05-21T16:30:00
43,Summer2018,58201,DSB 106,W,2018-05-23T08:30:00,2018-05-23T16:30:00
44,Summer2018,58201,DSB 106,W,2018-05-30T08:30:00,2018-05-30T16:30:00
45,Summer2018,58201,DSB 106,M,2018-06-04T08:30:00,2018-06-04T16:30:00
46,Summer2018,58201,DSB 106,W,2018-06-06T08:30:00,2018-06-06T16:30:00
47,Summer2018,58201,DSB 106,M,2018-06-11T08:30:00,2018-06-11T16:30:00
48,Summer2018,58201,DSB 106,W,2018-06-13T08:30:00,2018-06-13T16:30:00
49,Summer2018,58201,DSB 106,M,2018-06-18T08:30:00,2018-06-18T16:30:00
50,Summer2018,58201,DSB 106,S,2018-06-09T08:30:00,2018-06-09T16:30:00
51,Summer2018,58201,DSB 106,S,2018-06-16T08:30:00,2018-06-16T16:30:00
52,Summer2018,58124,DSB 110A,W,2018-05-23T18:00:00,2018-05-23T21:30:00
53,Summer2018,58124,DSB 110A,W,2018-05-30T18:00:00,2018-05-30T21:30:00
54,Summer2018,58124,DSB 110A,W,2018-06-06T18:00:00,2018-06-06T21:30:00
55,Summer2018,58124,DSB 110A,W,2018-06-13T18:00:00,2018-06-13T21:30:00
