,term,crn,location,day,start,end
0,Winter2016,11618,DSB 104,T,2016-01-05T10:00:00,2016-01-05T18:00:00
1,Winter2016,11618,DSB 104,F,2016-01-08T10:00:00,2016-01-08T18:00:00
2,Winter2016,11618,DSB 104,T,2016-01-05T10:00:00,2016-01-05T18:00:00
3,Winter2016,11618,DSB 104,F,2016-01-08T10:00:00,2016-01-08T18:00:00
4,Winter2016,11618,DSB 104,M,2016-01-11T10:00:00,2016-01-11T18:00:00
5,Winter2016,11618,DSB 104,R,2016-01-14T10:00:00,2016-01-14T18:00:00
6,Winter2016,11614,DSB 109,W,2016-01-06T08:30:00,2016-01-06T16:30:00
7,Winter2016,11614,DSB 109,R,2016-01-07T08:30:00,2016-01-07T16:30:00
8,Winter2016,11614,DSB 109,F,2016-01-08T08:30:00,2016-01-08T16:30:00
9,Winter2016,11614,DSB 109,M,2016-01-11T08:30:00,2016-01-11T16:30:00
10,Winter2016,11614,DSB 109,T,2016-01-12T08:30:00,2016-01-12T16:30:00
11,Winter2016,11622,DMH 350,W,2016-01-06T08:30:00,2016-01-06T16:30:00
12,Winter2016,11622,DMH 350,R,2016-01-07T08:30:00,2016-01-07T16:30:00
13,Winter2016,11622,DMH 350,F,2016-01-08T08:30:00,2016-01-08T16:30:00
14,Winter2016,11622,DMH 350,M,2016-01-11T08:30:00,2016-01-11T16:30:00
15,Winter2016,11622,DMH 350,T,2016-01-12T08:30:00,2016-01-12T16:30:00
16,Winter2016,11601,DSB 107,M,2016-01-04T18:00:00,2016-01-04T21:30:00
17,Winter2016,11601,DSB 107,T,2016-01-05T18:00:00,2016-01-05T21:30:00
18,Winter2016,11601,DSB 107,W,2016-01-06T18:00:00,2016-01-06T21:30:00
19,Winter2016,11601,DSB 107,R,2016-01-07T18:00:00,2016-01-07T21:30:00
20,Winter2016,11601,DSB 107,M,2016-01-11T18:00:00,2016-01-11T21:30:00
21,Winter2016,11601,DSB 107,T,2016-01-12T18:00:00,2016-01-12T21:30:00
22,Winter2016,11601,DSB 107,W,2016-01-13T18:00:00,2016-01-13T21:30:00
23,Winter2016,11601,DSB 107,R,2016-01-14T18:00:00,2016-01-14T21:30:00
24,Winter2016,11601,DSB 107,M,2016-01-04T08:30:00,2016-01-04T16:30:00
25,Winter2016,11601,DSB 107,T,2016-01-05T08:30:00,2016-01-05T16:30:00
26,Winter2016,11601,DSB 107,W,2016-01-06T08:30:00,2016-01-06T16:30:00
27,Winter2016,11601,DSB 107,R,2016-01-07T08:30:00,2016-01-07T16:30:00
28,Winter2016,11601,DSB 107,M,2016-01-11T08:30:00,2016-01-11T16:30:00
29,Winter2016,11601,DSB 107,T,2016-01-12T08:30:00,2016-01-12T16:30:00
30,Winter2016,11601,DSB 107,W,2016-01-13T08:30:00,2016-01-13T16:30:00
31,Winter2016,11601,DSB 107,R,2016-01-14T08:30:00,2016-01-14T16:30:00
32,Winter2016,11601,DSB 107,S,2016-01-09T08:30:00,2016-01-09T16:30:00
33,Winter2016,11601,DSB 107,S,2016-01-16T08:30:00,2016-01-16T16:30:00
34,Winter2016,11615,DSB 112,M,2016-01-04T18:00:00,2016-01-04T21:30:00
35,Winter2016,11615,DSB 112,T,2016-01-05T18:00:00,2016-01-05T21:30:00
36,Winter2016,11615,DSB 112,W,2016-01-06T18:00:00,2016-01-06T21:30:00
37,Winter2016,11615,DSB 112,R,2016-01-07T18:00:00,2016-01-07T21:30:00
38,Winter2016,11615,DSB 112,M,2016-01-11T18:00:00,2016-01-11T21:30:00
39,Winter2016,11615,DSB 112,T,2016-01-12T18:00:00,2016-01-12T21:30:00
40,Winter2016,11615,DSB 112,W,2016-01-13T18:00:00,2016-01-13T21:30:00
41,Winter2016,11615,DSB 112,R,2016-01-14T18:00:00,2016-01-14T21:30:00
42,Winter2016,11615,DSB 112,M,2016-01-04T08:30:00,2016-01-04T16:30:00
43,Winter2016,11615,DSB 112,T,2016-01-05T08:30:00,2016-01-05T16:30:00
44,Winter2016,11615,DSB 112,W,2016-01-06T08:30:00,2016-01-06T16:30:00
45,Winter2016,11615,DSB 112,R,2016-01-07T08:30:00,2016-01-07T16:30:00
46,Winter2016,11615,DSB 112,M,2016-01-11T08:30:00,2016-01-11T16:30:00
47,Winter2016,11615,DSB 112,T,2016-01-12T08:30:00,2016-01-12T16:30:00
48,Winter2016,11615,DSB 112,W,2016-01-13T08:30:00,2016-01-13T16:30:00
49,Winter2016,11615,DSB 112,R,2016-01-14T08:30:00,2016-01-14T16:30:00
50,Winter2016,11615,DSB 112,S,2016-01-09T08:30:00,2016-01-09T16:30:00
51,Winter2016,11615,DSB 112,S,2016-01-16T08:30:00,2016-01-16T16:30:00
52,Winter2016,11617,DSB 109,M,2016-01-04T18:00:00,2016-01-04T21:30:00
53,Winter2016,11617,DSB 109,T,2016-01-05T18:00:00,2016-01-05T21:30:00
54,Winter2016,11617,DSB 109,W,2016-01-06T18:00:00,2016-01-06T21:30:00
55,Winter2016,11617,DSB 109,R,2016-01-07T18:00:00,2016-01-07T21:30:00
56,Winter2016,11617,DSB 109,M,2016-01-11T18:00:00,2016-01-11T21:30:00
57,Winter2016,11617,DSB 109,T,2016-01-12T18:00:00,2016-01-12T21:30:00
58,Winter2016,11617,DSB 109,W,2016-01-13T18:00:00,2016-01-13T21:30:00
59,Winter2016,11617,DSB 109,R,2016-01-14T18:00:00,2016-01-14T21:30:00
60,Winter2016,11617,DSB 109,M,2016-01-04T08:30:00,2016-01-04T16:30:00
61,Winter2016,11617,DSB 109,T,2016-01-05T08:30:00,2016-01-05T16:30:00
62,Winter2016,11617,DSB 109,W,2016-01-06T08:30:00,2016-01-06T16:30:00
63,Winter2016,11617,DSB 109,R,2016-01-07T08:30:00,2016-01-07T16:30:00
64,Winter2016,11617,DSB 109,M,2016-01-11T08:30:00,2016-01-11T16:30:00
65,Winter2016,11617,DSB 109,T,2016-01-12T08:30:00,2016-01-12T16:30:00
66,Winter2016,11617,DSB 109,W,2016-01-13T08:30:00,2016-01-13T16:30:00
67,Winter2016,11617,DSB 109,R,2016-01-14T08:30:00,2016-01-14T16:30:00
68,Winter2016,11617,DSB 109,S,2016-01-09T08:30:00,2016-01-09T16:30:00
69,Winter2016,11617,DSB 109,S,2016-01-16T08:30:00,2016-01-16T16:30:00
70,Winter2016,11608,JGS 25,W,2016-01-06T08:30:00,2016-01-06T16:30:00
71,Winter2016,11608,JGS 25,R,2016-01-07T08:30:00,2016-01-07T16:30:00
72,Winter2016,11608,JGS 25,F,2016-01-08T08:30:00,2016-01-08T16:30:00
73,Winter2016,11608,JGS 25,M,2016-01-11T08:30:00,2016-01-11T16:30:00
74,Winter2016,11608,JGS 25,T,2016-01-12T08:30:00,2016-01-12T16:30:00
75,Winter2016,11613,DMH 348,W,2016-01-06T08:30:00,2016-01-06T16:30:00
76,Winter2016,11613,DMH 348,R,2016-01-07T08:30:00,2016-01-07T16:30:00
77,Winter2016,11613,DMH 348,F,2016-01-08T08:30:00,2016-01-08T16:30:00
78,Winter2016,11613,DMH 348,M,2016-01-11T08:30:00,2016-01-11T16:30:00
79,Winter2016,11613,DMH 348,T,2016-01-12T08:30:00,2016-01-12T16:30:00
80,Winter2016,11612,LYL 22,W,2016-01-06T08:30:00,2016-01-06T16:30:00
81,Winter2016,11612,LYL 22,R,2016-01-07T08:30:00,2016-01-07T16:30:00
82,Winter2016,11612,LYL 22,F,2016-01-08T08:30:00,2016-01-08T16:30:00
83,Winter2016,11612,LYL 22,M,2016-01-11T08:30:00,2016-01-11T16:30:00
84,Winter2016,11612,LYL 22,T,2016-01-12T08:30:00,2016-01-12T16:30:00
85,Winter2016,11619,DSB 104,W,2016-01-06T18:30:00,2016-01-06T21:30:00
86,Winter2016,11619,DSB 104,W,2016-01-13T18:30:00,2016-01-13T21:30:00
87,Winter2016,11619,DSB 104,W,2016-01-20T18:30:00,2016-01-20T21:30:00
88,Winter2016,11619,DSB 104,W,2016-01-27T18:30:00,2016-01-27T21:30:00
89,Winter2016,11619,DSB 104,W,2016-01-06T09:00:00,2016-01-06T16:00:00
90,Winter2016,11619,DSB 104,W,2016-01-13T09:00:00,2016-01-13T16:00:00
91,Winter2016,11619,DSB 104,W,2016-01-20T09:00:00,2016-01-20T16:00:00
92,Winter2016,11619,DSB 104,W,2016-01-27T09:00:00,2016-01-27T16:00:00
93,Winter2016,11619,DSB 104,S,2016-01-09T09:00:00,2016-01-09T16:00:00
94,Winter2016,11619,DSB 104,S,2016-01-16T09:00:00,2016-01-16T16:00:00
95,Winter2016,11619,DSB 104,S,2016-01-23T09:00:00,2016-01-23T16:00:00
96,Winter2016,11619,DSB 104,S,2016-01-30T09:00:00,2016-01-30T16:00:00
97,Winter2016,11619,DSB 104,W,2016-01-06T09:00:00,2016-01-06T12:00:00
98,Winter2016,11619,DSB 104,W,2016-01-13T09:00:00,2016-01-13T12:00:00
99,Winter2016,11619,DSB 104,W,2016-01-20T09:00:00,2016-01-20T12:00:00
100,Winter2016,11619,DSB 104,W,2016-01-27T09:00:00,2016-01-27T12:00:00
101,Winter2016,11619,DSB 104,S,2016-01-09T09:00:00,2016-01-09T12:00:00
102,Winter2016,11619,DSB 104,S,2016-01-16T09:00:00,2016-01-16T12:00:00
103,Winter2016,11619,DSB 104,S,2016-01-23T09:00:00,2016-01-23T12:00:00
104,Winter2016,11619,DSB 104,S,2016-01-30T09:00:00,2016-01-30T12:00:00
105,Winter2016,11619,DSB 104,S,2016-02-06T09:00:00,2016-02-06T12:00:00
