,term,crn,location,day,start,end
0,Summer2016,56372,DSB 115,F,2016-05-27T10:00:00,2016-05-27T12:30:00
1,Summer2016,56372,DSB 115,M,2016-05-30T10:00:00,2016-05-30T12:30:00
2,Summer2016,56372,DSB 115,W,2016-06-01T10:00:00,2016-06-01T12:30:00
3,Summer2016,56372,DSB 115,F,2016-06-03T10:00:00,2016-06-03T12:30:00
4,Summer2016,56372,DSB 115,M,2016-06-06T10:00:00,2016-06-06T12:30:00
5,Summer2016,56372,DSB 115,W,2016-06-08T10:00:00,2016-06-08T12:30:00
6,Summer2016,56372,DSB 115,F,2016-06-10T10:00:00,2016-06-10T12:30:00
7,Summer2016,56372,DSB 115,M,2016-06-13T10:00:00,2016-06-13T12:30:00
8,Summer2016,56372,DSB 115,W,2016-06-15T10:00:00,2016-06-15T12:30:00
9,Summer2016,56372,DSB 115,F,2016-06-17T10:00:00,2016-06-17T12:30:00
10,Summer2016,56372,DSB 115,M,2016-06-20T10:00:00,2016-06-20T12:30:00
11,Summer2016,56372,DSB 115,W,2016-06-22T10:00:00,2016-06-22T12:30:00
12,Summer2016,56372,DSB 115,F,2016-06-24T10:00:00,2016-06-24T12:30:00
13,Summer2016,56372,DSB 115,M,2016-06-27T10:00:00,2016-06-27T12:30:00
14,Summer2016,56372,DSB 115,W,2016-06-29T10:00:00,2016-06-29T12:30:00
15,Summer2016,56193,DSB 112,M,2016-05-23T18:00:00,2016-05-23T21:30:00
16,Summer2016,56193,DSB 112,M,2016-05-30T18:00:00,2016-05-30T21:30:00
17,Summer2016,56193,DSB 112,W,2016-06-01T18:00:00,2016-06-01T21:30:00
18,Summer2016,56193,DSB 112,M,2016-06-06T18:00:00,2016-06-06T21:30:00
19,Summer2016,56193,DSB 112,W,2016-06-08T18:00:00,2016-06-08T21:30:00
20,Summer2016,56193,DSB 112,M,2016-06-13T18:00:00,2016-06-13T21:30:00
21,Summer2016,56193,DSB 112,W,2016-06-15T18:00:00,2016-06-15T21:30:00
22,Summer2016,56193,DSB 112,M,2016-06-20T18:00:00,2016-06-20T21:30:00
