,crn,location,day,start,end
0,32436,DSB 108,R,2015-01-22T14:00:00,2015-01-22T15:15:00
1,32436,DSB 108,M,2015-01-26T14:00:00,2015-01-26T15:15:00
2,32436,DSB 108,R,2015-01-29T14:00:00,2015-01-29T15:15:00
3,32436,DSB 108,M,2015-02-02T14:00:00,2015-02-02T15:15:00
4,32436,DSB 108,R,2015-02-05T14:00:00,2015-02-05T15:15:00
5,32436,DSB 108,M,2015-02-09T14:00:00,2015-02-09T15:15:00
6,32436,DSB 108,R,2015-02-12T14:00:00,2015-02-12T15:15:00
7,32436,DSB 108,R,2015-02-19T14:00:00,2015-02-19T15:15:00
8,32436,DSB 108,M,2015-02-23T14:00:00,2015-02-23T15:15:00
9,32436,DSB 108,R,2015-02-26T14:00:00,2015-02-26T15:15:00
10,32436,DSB 108,M,2015-03-02T14:00:00,2015-03-02T15:15:00
11,32436,DSB 108,R,2015-03-05T14:00:00,2015-03-05T15:15:00
12,32436,DSB 108,M,2015-03-09T14:00:00,2015-03-09T15:15:00
13,32436,DSB 108,R,2015-03-12T14:00:00,2015-03-12T15:15:00
14,32436,DSB 108,M,2015-03-16T14:00:00,2015-03-16T15:15:00
15,32436,DSB 108,R,2015-03-19T14:00:00,2015-03-19T15:15:00
16,32436,DSB 108,M,2015-03-23T14:00:00,2015-03-23T15:15:00
17,32436,DSB 108,R,2015-03-26T14:00:00,2015-03-26T15:15:00
18,32436,DSB 108,M,2015-03-30T14:00:00,2015-03-30T15:15:00
19,32436,DSB 108,R,2015-04-02T14:00:00,2015-04-02T15:15:00
20,32436,DSB 108,M,2015-04-06T14:00:00,2015-04-06T15:15:00
21,32436,DSB 108,R,2015-04-09T14:00:00,2015-04-09T15:15:00
22,32436,DSB 108,M,2015-04-13T14:00:00,2015-04-13T15:15:00
23,32436,DSB 108,R,2015-04-16T14:00:00,2015-04-16T15:15:00
24,32436,DSB 108,M,2015-04-20T14:00:00,2015-04-20T15:15:00
25,32436,DSB 108,R,2015-04-23T14:00:00,2015-04-23T15:15:00
26,32436,DSB 108,M,2015-04-27T14:00:00,2015-04-27T15:15:00
27,32436,DSB 108,R,2015-04-30T14:00:00,2015-04-30T15:15:00
28,32436,DSB 108,T,2015-02-17T14:00:00,2015-02-17T15:15:00
29,33880,DSB 106,R,2015-01-22T09:30:00,2015-01-22T10:45:00
30,33880,DSB 106,M,2015-01-26T09:30:00,2015-01-26T10:45:00
31,33880,DSB 106,R,2015-01-29T09:30:00,2015-01-29T10:45:00
32,33880,DSB 106,M,2015-02-02T09:30:00,2015-02-02T10:45:00
33,33880,DSB 106,R,2015-02-05T09:30:00,2015-02-05T10:45:00
34,33880,DSB 106,M,2015-02-09T09:30:00,2015-02-09T10:45:00
35,33880,DSB 106,R,2015-02-12T09:30:00,2015-02-12T10:45:00
36,33880,DSB 106,R,2015-02-19T09:30:00,2015-02-19T10:45:00
37,33880,DSB 106,M,2015-02-23T09:30:00,2015-02-23T10:45:00
38,33880,DSB 106,R,2015-02-26T09:30:00,2015-02-26T10:45:00
39,33880,DSB 106,M,2015-03-02T09:30:00,2015-03-02T10:45:00
40,33880,DSB 106,R,2015-03-05T09:30:00,2015-03-05T10:45:00
41,33880,DSB 106,M,2015-03-09T09:30:00,2015-03-09T10:45:00
42,33880,DSB 106,R,2015-03-12T09:30:00,2015-03-12T10:45:00
43,33880,DSB 106,M,2015-03-16T09:30:00,2015-03-16T10:45:00
44,33880,DSB 106,R,2015-03-19T09:30:00,2015-03-19T10:45:00
45,33880,DSB 106,M,2015-03-23T09:30:00,2015-03-23T10:45:00
46,33880,DSB 106,R,2015-03-26T09:30:00,2015-03-26T10:45:00
47,33880,DSB 106,M,2015-03-30T09:30:00,2015-03-30T10:45:00
48,33880,DSB 106,R,2015-04-02T09:30:00,2015-04-02T10:45:00
49,33880,DSB 106,M,2015-04-06T09:30:00,2015-04-06T10:45:00
50,33880,DSB 106,R,2015-04-09T09:30:00,2015-04-09T10:45:00
51,33880,DSB 106,M,2015-04-13T09:30:00,2015-04-13T10:45:00
52,33880,DSB 106,R,2015-04-16T09:30:00,2015-04-16T10:45:00
53,33880,DSB 106,M,2015-04-20T09:30:00,2015-04-20T10:45:00
54,33880,DSB 106,R,2015-04-23T09:30:00,2015-04-23T10:45:00
55,33880,DSB 106,M,2015-04-27T09:30:00,2015-04-27T10:45:00
56,33880,DSB 106,R,2015-04-30T09:30:00,2015-04-30T10:45:00
57,33880,DSB 106,T,2015-02-17T09:30:00,2015-02-17T10:45:00
58,33012,DSB 110A,R,2015-01-22T11:00:00,2015-01-22T12:15:00
59,33012,DSB 110A,M,2015-01-26T11:00:00,2015-01-26T12:15:00
60,33012,DSB 110A,R,2015-01-29T11:00:00,2015-01-29T12:15:00
61,33012,DSB 110A,M,2015-02-02T11:00:00,2015-02-02T12:15:00
62,33012,DSB 110A,R,2015-02-05T11:00:00,2015-02-05T12:15:00
63,33012,DSB 110A,M,2015-02-09T11:00:00,2015-02-09T12:15:00
64,33012,DSB 110A,R,2015-02-12T11:00:00,2015-02-12T12:15:00
65,33012,DSB 110A,R,2015-02-19T11:00:00,2015-02-19T12:15:00
66,33012,DSB 110A,M,2015-02-23T11:00:00,2015-02-23T12:15:00
67,33012,DSB 110A,R,2015-02-26T11:00:00,2015-02-26T12:15:00
68,33012,DSB 110A,M,2015-03-02T11:00:00,2015-03-02T12:15:00
69,33012,DSB 110A,R,2015-03-05T11:00:00,2015-03-05T12:15:00
70,33012,DSB 110A,M,2015-03-09T11:00:00,2015-03-09T12:15:00
71,33012,DSB 110A,R,2015-03-12T11:00:00,2015-03-12T12:15:00
72,33012,DSB 110A,M,2015-03-16T11:00:00,2015-03-16T12:15:00
73,33012,DSB 110A,R,2015-03-19T11:00:00,2015-03-19T12:15:00
74,33012,DSB 110A,M,2015-03-23T11:00:00,2015-03-23T12:15:00
75,33012,DSB 110A,R,2015-03-26T11:00:00,2015-03-26T12:15:00
76,33012,DSB 110A,M,2015-03-30T11:00:00,2015-03-30T12:15:00
77,33012,DSB 110A,R,2015-04-02T11:00:00,2015-04-02T12:15:00
78,33012,DSB 110A,M,2015-04-06T11:00:00,2015-04-06T12:15:00
79,33012,DSB 110A,R,2015-04-09T11:00:00,2015-04-09T12:15:00
80,33012,DSB 110A,M,2015-04-13T11:00:00,2015-04-13T12:15:00
81,33012,DSB 110A,R,2015-04-16T11:00:00,2015-04-16T12:15:00
82,33012,DSB 110A,M,2015-04-20T11:00:00,2015-04-20T12:15:00
83,33012,DSB 110A,R,2015-04-23T11:00:00,2015-04-23T12:15:00
84,33012,DSB 110A,M,2015-04-27T11:00:00,2015-04-27T12:15:00
85,33012,DSB 110A,R,2015-04-30T11:00:00,2015-04-30T12:15:00
