,crn,location,day,start,end
81,31177,DSB 108,R,2017-01-19T12:30:00,2017-01-19T13:45:00
82,31177,DSB 108,M,2017-01-23T12:30:00,2017-01-23T13:45:00
83,31177,DSB 108,R,2017-01-26T12:30:00,2017-01-26T13:45:00
84,31177,DSB 108,M,2017-01-30T12:30:00,2017-01-30T13:45:00
85,31177,DSB 108,R,2017-02-02T12:30:00,2017-02-02T13:45:00
86,31177,DSB 108,M,2017-02-06T12:30:00,2017-02-06T13:45:00
87,31177,DSB 108,R,2017-02-09T12:30:00,2017-02-09T13:45:00
88,31177,DSB 108,M,2017-02-13T12:30:00,2017-02-13T13:45:00
89,31177,DSB 108,R,2017-02-16T12:30:00,2017-02-16T13:45:00
90,31177,DSB 108,R,2017-02-23T12:30:00,2017-02-23T13:45:00
91,31177,DSB 108,M,2017-02-27T12:30:00,2017-02-27T13:45:00
92,31177,DSB 108,R,2017-03-02T12:30:00,2017-03-02T13:45:00
93,31177,DSB 108,M,2017-03-06T12:30:00,2017-03-06T13:45:00
94,31177,DSB 108,R,2017-03-09T12:30:00,2017-03-09T13:45:00
95,31177,DSB 108,M,2017-03-20T12:30:00,2017-03-20T13:45:00
96,31177,DSB 108,R,2017-03-23T12:30:00,2017-03-23T13:45:00
97,31177,DSB 108,M,2017-03-27T12:30:00,2017-03-27T13:45:00
98,31177,DSB 108,R,2017-03-30T12:30:00,2017-03-30T13:45:00
99,31177,DSB 108,M,2017-04-03T12:30:00,2017-04-03T13:45:00
100,31177,DSB 108,R,2017-04-06T12:30:00,2017-04-06T13:45:00
101,31177,DSB 108,M,2017-04-10T12:30:00,2017-04-10T13:45:00
102,31177,DSB 108,R,2017-04-13T12:30:00,2017-04-13T13:45:00
103,31177,DSB 108,R,2017-04-20T12:30:00,2017-04-20T13:45:00
104,31177,DSB 108,M,2017-04-24T12:30:00,2017-04-24T13:45:00
105,31177,DSB 108,R,2017-04-27T12:30:00,2017-04-27T13:45:00
106,31177,DSB 108,M,2017-05-01T12:30:00,2017-05-01T13:45:00
107,31177,DSB 108,T,2017-02-21T12:30:00,2017-02-21T13:45:00
108,31194,DSB 104,R,2017-01-19T14:00:00,2017-01-19T15:15:00
109,31194,DSB 104,M,2017-01-23T14:00:00,2017-01-23T15:15:00
110,31194,DSB 104,R,2017-01-26T14:00:00,2017-01-26T15:15:00
111,31194,DSB 104,M,2017-01-30T14:00:00,2017-01-30T15:15:00
112,31194,DSB 104,R,2017-02-02T14:00:00,2017-02-02T15:15:00
113,31194,DSB 104,M,2017-02-06T14:00:00,2017-02-06T15:15:00
114,31194,DSB 104,R,2017-02-09T14:00:00,2017-02-09T15:15:00
115,31194,DSB 104,M,2017-02-13T14:00:00,2017-02-13T15:15:00
116,31194,DSB 104,R,2017-02-16T14:00:00,2017-02-16T15:15:00
117,31194,DSB 104,R,2017-02-23T14:00:00,2017-02-23T15:15:00
118,31194,DSB 104,M,2017-02-27T14:00:00,2017-02-27T15:15:00
119,31194,DSB 104,R,2017-03-02T14:00:00,2017-03-02T15:15:00
120,31194,DSB 104,M,2017-03-06T14:00:00,2017-03-06T15:15:00
121,31194,DSB 104,R,2017-03-09T14:00:00,2017-03-09T15:15:00
122,31194,DSB 104,M,2017-03-20T14:00:00,2017-03-20T15:15:00
123,31194,DSB 104,R,2017-03-23T14:00:00,2017-03-23T15:15:00
124,31194,DSB 104,M,2017-03-27T14:00:00,2017-03-27T15:15:00
125,31194,DSB 104,R,2017-03-30T14:00:00,2017-03-30T15:15:00
126,31194,DSB 104,M,2017-04-03T14:00:00,2017-04-03T15:15:00
127,31194,DSB 104,R,2017-04-06T14:00:00,2017-04-06T15:15:00
128,31194,DSB 104,M,2017-04-10T14:00:00,2017-04-10T15:15:00
129,31194,DSB 104,R,2017-04-13T14:00:00,2017-04-13T15:15:00
130,31194,DSB 104,R,2017-04-20T14:00:00,2017-04-20T15:15:00
131,31194,DSB 104,M,2017-04-24T14:00:00,2017-04-24T15:15:00
132,31194,DSB 104,R,2017-04-27T14:00:00,2017-04-27T15:15:00
133,31194,DSB 104,M,2017-05-01T14:00:00,2017-05-01T15:15:00
134,31194,DSB 104,T,2017-02-21T14:00:00,2017-02-21T15:15:00
135,31195,DSB 104,R,2017-01-19T15:30:00,2017-01-19T16:45:00
136,31195,DSB 104,M,2017-01-23T15:30:00,2017-01-23T16:45:00
137,31195,DSB 104,R,2017-01-26T15:30:00,2017-01-26T16:45:00
138,31195,DSB 104,M,2017-01-30T15:30:00,2017-01-30T16:45:00
139,31195,DSB 104,R,2017-02-02T15:30:00,2017-02-02T16:45:00
140,31195,DSB 104,M,2017-02-06T15:30:00,2017-02-06T16:45:00
141,31195,DSB 104,R,2017-02-09T15:30:00,2017-02-09T16:45:00
142,31195,DSB 104,M,2017-02-13T15:30:00,2017-02-13T16:45:00
143,31195,DSB 104,R,2017-02-16T15:30:00,2017-02-16T16:45:00
144,31195,DSB 104,R,2017-02-23T15:30:00,2017-02-23T16:45:00
145,31195,DSB 104,M,2017-02-27T15:30:00,2017-02-27T16:45:00
146,31195,DSB 104,R,2017-03-02T15:30:00,2017-03-02T16:45:00
147,31195,DSB 104,M,2017-03-06T15:30:00,2017-03-06T16:45:00
148,31195,DSB 104,R,2017-03-09T15:30:00,2017-03-09T16:45:00
149,31195,DSB 104,M,2017-03-20T15:30:00,2017-03-20T16:45:00
150,31195,DSB 104,R,2017-03-23T15:30:00,2017-03-23T16:45:00
151,31195,DSB 104,M,2017-03-27T15:30:00,2017-03-27T16:45:00
152,31195,DSB 104,R,2017-03-30T15:30:00,2017-03-30T16:45:00
153,31195,DSB 104,M,2017-04-03T15:30:00,2017-04-03T16:45:00
154,31195,DSB 104,R,2017-04-06T15:30:00,2017-04-06T16:45:00
155,31195,DSB 104,M,2017-04-10T15:30:00,2017-04-10T16:45:00
156,31195,DSB 104,R,2017-04-13T15:30:00,2017-04-13T16:45:00
157,31195,DSB 104,R,2017-04-20T15:30:00,2017-04-20T16:45:00
158,31195,DSB 104,M,2017-04-24T15:30:00,2017-04-24T16:45:00
159,31195,DSB 104,R,2017-04-27T15:30:00,2017-04-27T16:45:00
160,31195,DSB 104,M,2017-05-01T15:30:00,2017-05-01T16:45:00
161,31195,DSB 104,T,2017-02-21T15:30:00,2017-02-21T16:45:00
162,31196,DSB 106,R,2017-01-19T08:00:00,2017-01-19T09:15:00
163,31196,DSB 106,M,2017-01-23T08:00:00,2017-01-23T09:15:00
164,31196,DSB 106,R,2017-01-26T08:00:00,2017-01-26T09:15:00
165,31196,DSB 106,M,2017-01-30T08:00:00,2017-01-30T09:15:00
166,31196,DSB 106,R,2017-02-02T08:00:00,2017-02-02T09:15:00
167,31196,DSB 106,M,2017-02-06T08:00:00,2017-02-06T09:15:00
168,31196,DSB 106,R,2017-02-09T08:00:00,2017-02-09T09:15:00
169,31196,DSB 106,M,2017-02-13T08:00:00,2017-02-13T09:15:00
170,31196,DSB 106,R,2017-02-16T08:00:00,2017-02-16T09:15:00
171,31196,DSB 106,R,2017-02-23T08:00:00,2017-02-23T09:15:00
172,31196,DSB 106,M,2017-02-27T08:00:00,2017-02-27T09:15:00
173,31196,DSB 106,R,2017-03-02T08:00:00,2017-03-02T09:15:00
174,31196,DSB 106,M,2017-03-06T08:00:00,2017-03-06T09:15:00
175,31196,DSB 106,R,2017-03-09T08:00:00,2017-03-09T09:15:00
176,31196,DSB 106,M,2017-03-20T08:00:00,2017-03-20T09:15:00
177,31196,DSB 106,R,2017-03-23T08:00:00,2017-03-23T09:15:00
178,31196,DSB 106,M,2017-03-27T08:00:00,2017-03-27T09:15:00
179,31196,DSB 106,R,2017-03-30T08:00:00,2017-03-30T09:15:00
180,31196,DSB 106,M,2017-04-03T08:00:00,2017-04-03T09:15:00
181,31196,DSB 106,R,2017-04-06T08:00:00,2017-04-06T09:15:00
182,31196,DSB 106,M,2017-04-10T08:00:00,2017-04-10T09:15:00
183,31196,DSB 106,R,2017-04-13T08:00:00,2017-04-13T09:15:00
184,31196,DSB 106,R,2017-04-20T08:00:00,2017-04-20T09:15:00
185,31196,DSB 106,M,2017-04-24T08:00:00,2017-04-24T09:15:00
186,31196,DSB 106,R,2017-04-27T08:00:00,2017-04-27T09:15:00
187,31196,DSB 106,M,2017-05-01T08:00:00,2017-05-01T09:15:00
188,31196,DSB 106,T,2017-02-21T08:00:00,2017-02-21T09:15:00
189,31197,DSB 106,R,2017-01-19T09:30:00,2017-01-19T10:45:00
190,31197,DSB 106,M,2017-01-23T09:30:00,2017-01-23T10:45:00
191,31197,DSB 106,R,2017-01-26T09:30:00,2017-01-26T10:45:00
192,31197,DSB 106,M,2017-01-30T09:30:00,2017-01-30T10:45:00
193,31197,DSB 106,R,2017-02-02T09:30:00,2017-02-02T10:45:00
194,31197,DSB 106,M,2017-02-06T09:30:00,2017-02-06T10:45:00
195,31197,DSB 106,R,2017-02-09T09:30:00,2017-02-09T10:45:00
196,31197,DSB 106,M,2017-02-13T09:30:00,2017-02-13T10:45:00
197,31197,DSB 106,R,2017-02-16T09:30:00,2017-02-16T10:45:00
198,31197,DSB 106,R,2017-02-23T09:30:00,2017-02-23T10:45:00
199,31197,DSB 106,M,2017-02-27T09:30:00,2017-02-27T10:45:00
200,31197,DSB 106,R,2017-03-02T09:30:00,2017-03-02T10:45:00
201,31197,DSB 106,M,2017-03-06T09:30:00,2017-03-06T10:45:00
202,31197,DSB 106,R,2017-03-09T09:30:00,2017-03-09T10:45:00
203,31197,DSB 106,M,2017-03-20T09:30:00,2017-03-20T10:45:00
204,31197,DSB 106,R,2017-03-23T09:30:00,2017-03-23T10:45:00
205,31197,DSB 106,M,2017-03-27T09:30:00,2017-03-27T10:45:00
206,31197,DSB 106,R,2017-03-30T09:30:00,2017-03-30T10:45:00
207,31197,DSB 106,M,2017-04-03T09:30:00,2017-04-03T10:45:00
208,31197,DSB 106,R,2017-04-06T09:30:00,2017-04-06T10:45:00
209,31197,DSB 106,M,2017-04-10T09:30:00,2017-04-10T10:45:00
210,31197,DSB 106,R,2017-04-13T09:30:00,2017-04-13T10:45:00
211,31197,DSB 106,R,2017-04-20T09:30:00,2017-04-20T10:45:00
212,31197,DSB 106,M,2017-04-24T09:30:00,2017-04-24T10:45:00
213,31197,DSB 106,R,2017-04-27T09:30:00,2017-04-27T10:45:00
214,31197,DSB 106,M,2017-05-01T09:30:00,2017-05-01T10:45:00
215,31197,DSB 106,T,2017-02-21T09:30:00,2017-02-21T10:45:00
216,31296,DSB 108,R,2017-01-19T14:00:00,2017-01-19T15:15:00
217,31296,DSB 108,M,2017-01-23T14:00:00,2017-01-23T15:15:00
218,31296,DSB 108,R,2017-01-26T14:00:00,2017-01-26T15:15:00
219,31296,DSB 108,M,2017-01-30T14:00:00,2017-01-30T15:15:00
220,31296,DSB 108,R,2017-02-02T14:00:00,2017-02-02T15:15:00
221,31296,DSB 108,M,2017-02-06T14:00:00,2017-02-06T15:15:00
222,31296,DSB 108,R,2017-02-09T14:00:00,2017-02-09T15:15:00
223,31296,DSB 108,M,2017-02-13T14:00:00,2017-02-13T15:15:00
224,31296,DSB 108,R,2017-02-16T14:00:00,2017-02-16T15:15:00
225,31296,DSB 108,R,2017-02-23T14:00:00,2017-02-23T15:15:00
226,31296,DSB 108,M,2017-02-27T14:00:00,2017-02-27T15:15:00
227,31296,DSB 108,R,2017-03-02T14:00:00,2017-03-02T15:15:00
228,31296,DSB 108,M,2017-03-06T14:00:00,2017-03-06T15:15:00
229,31296,DSB 108,R,2017-03-09T14:00:00,2017-03-09T15:15:00
230,31296,DSB 108,M,2017-03-20T14:00:00,2017-03-20T15:15:00
231,31296,DSB 108,R,2017-03-23T14:00:00,2017-03-23T15:15:00
232,31296,DSB 108,M,2017-03-27T14:00:00,2017-03-27T15:15:00
233,31296,DSB 108,R,2017-03-30T14:00:00,2017-03-30T15:15:00
234,31296,DSB 108,M,2017-04-03T14:00:00,2017-04-03T15:15:00
235,31296,DSB 108,R,2017-04-06T14:00:00,2017-04-06T15:15:00
236,31296,DSB 108,M,2017-04-10T14:00:00,2017-04-10T15:15:00
237,31296,DSB 108,R,2017-04-13T14:00:00,2017-04-13T15:15:00
238,31296,DSB 108,R,2017-04-20T14:00:00,2017-04-20T15:15:00
239,31296,DSB 108,M,2017-04-24T14:00:00,2017-04-24T15:15:00
240,31296,DSB 108,R,2017-04-27T14:00:00,2017-04-27T15:15:00
241,31296,DSB 108,M,2017-05-01T14:00:00,2017-05-01T15:15:00
242,31296,DSB 108,T,2017-02-21T14:00:00,2017-02-21T15:15:00
243,31426,DSB 108,R,2017-01-19T15:30:00,2017-01-19T16:45:00
