,crn,location,day,start,end
0,11618,DSB 104,T,2016-01-05T10:00:00,2016-01-05T18:00:00
1,11618,DSB 104,F,2016-01-08T10:00:00,2016-01-08T18:00:00
2,11618,DSB 104,T,2016-01-05T10:00:00,2016-01-05T18:00:00
3,11618,DSB 104,F,2016-01-08T10:00:00,2016-01-08T18:00:00
4,11618,DSB 104,M,2016-01-11T10:00:00,2016-01-11T18:00:00
5,11618,DSB 104,R,2016-01-14T10:00:00,2016-01-14T18:00:00
6,11614,DSB 109,W,2016-01-06T08:30:00,2016-01-06T16:30:00
7,11614,DSB 109,R,2016-01-07T08:30:00,2016-01-07T16:30:00
8,11614,DSB 109,F,2016-01-08T08:30:00,2016-01-08T16:30:00
9,11614,DSB 109,M,2016-01-11T08:30:00,2016-01-11T16:30:00
10,11614,DSB 109,T,2016-01-12T08:30:00,2016-01-12T16:30:00
11,11622,DMH 350,W,2016-01-06T08:30:00,2016-01-06T16:30:00
12,11622,DMH 350,R,2016-01-07T08:30:00,2016-01-07T16:30:00
13,11622,DMH 350,F,2016-01-08T08:30:00,2016-01-08T16:30:00
14,11622,DMH 350,M,2016-01-11T08:30:00,2016-01-11T16:30:00
15,11622,DMH 350,T,2016-01-12T08:30:00,2016-01-12T16:30:00
16,11601,DSB 107,M,2016-01-04T18:00:00,2016-01-04T21:30:00
17,11601,DSB 107,T,2016-01-05T18:00:00,2016-01-05T21:30:00
18,11601,DSB 107,W,2016-01-06T18:00:00,2016-01-06T21:30:00
19,11601,DSB 107,R,2016-01-07T18:00:00,2016-01-07T21:30:00
20,11601,DSB 107,M,2016-01-11T18:00:00,2016-01-11T21:30:00
21,11601,DSB 107,T,2016-01-12T18:00:00,2016-01-12T21:30:00
22,11601,DSB 107,W,2016-01-13T18:00:00,2016-01-13T21:30:00
23,11601,DSB 107,R,2016-01-14T18:00:00,2016-01-14T21:30:00
24,11601,DSB 107,M,2016-01-04T08:30:00,2016-01-04T16:30:00
25,11601,DSB 107,T,2016-01-05T08:30:00,2016-01-05T16:30:00
26,11601,DSB 107,W,2016-01-06T08:30:00,2016-01-06T16:30:00
27,11601,DSB 107,R,2016-01-07T08:30:00,2016-01-07T16:30:00
28,11601,DSB 107,M,2016-01-11T08:30:00,2016-01-11T16:30:00
29,11601,DSB 107,T,2016-01-12T08:30:00,2016-01-12T16:30:00
