,crn,location,day,start,end
0,56372,DSB 115,F,2016-05-27T10:00:00,2016-05-27T12:30:00
1,56372,DSB 115,M,2016-05-30T10:00:00,2016-05-30T12:30:00
2,56372,DSB 115,W,2016-06-01T10:00:00,2016-06-01T12:30:00
3,56372,DSB 115,F,2016-06-03T10:00:00,2016-06-03T12:30:00
4,56372,DSB 115,M,2016-06-06T10:00:00,2016-06-06T12:30:00
5,56372,DSB 115,W,2016-06-08T10:00:00,2016-06-08T12:30:00
6,56372,DSB 115,F,2016-06-10T10:00:00,2016-06-10T12:30:00
7,56372,DSB 115,M,2016-06-13T10:00:00,2016-06-13T12:30:00
8,56372,DSB 115,W,2016-06-15T10:00:00,2016-06-15T12:30:00
9,56372,DSB 115,F,2016-06-17T10:00:00,2016-06-17T12:30:00
10,56372,DSB 115,M,2016-06-20T10:00:00,2016-06-20T12:30:00
11,56372,DSB 115,W,2016-06-22T10:00:00,2016-06-22T12:30:00
12,56372,DSB 115,F,2016-06-24T10:00:00,2016-06-24T12:30:00
13,56372,DSB 115,M,2016-06-27T10:00:00,2016-06-27T12:30:00
14,56372,DSB 115,W,2016-06-29T10:00:00,2016-06-29T12:30:00
15,56193,DSB 112,M,2016-05-23T18:00:00,2016-05-23T21:30:00
16,56193,DSB 112,M,2016-05-30T18:00:00,2016-05-30T21:30:00
17,56193,DSB 112,W,2016-06-01T18:00:00,2016-06-01T21:30:00
18,56193,DSB 112,M,2016-06-06T18:00:00,2016-06-06T21:30:00
19,56193,DSB 112,W,2016-06-08T18:00:00,2016-06-08T21:30:00
20,56193,DSB 112,M,2016-06-13T18:00:00,2016-06-13T21:30:00
21,56193,DSB 112,W,2016-06-15T18:00:00,2016-06-15T21:30:00
22,56193,DSB 112,M,2016-06-20T18:00:00,2016-06-20T21:30:00
23,56193,DSB 112,W,2016-06-22T18:00:00,2016-06-22T21:30:00
24,56193,DSB 112,M,2016-06-27T18:00:00,2016-06-27T21:30:00
25,56193,DSB 112,W,2016-06-29T18:00:00,2016-06-29T21:30:00
26,56193,DSB 112,M,2016-05-23T18:00:00,2016-05-23T21:30:00
27,56193,DSB 112,M,2016-05-30T18:00:00,2016-05-30T21:30:00
28,56193,DSB 112,W,2016-06-01T18:00:00,2016-06-01T21:30:00
29,56193,DSB 112,M,2016-06-06T18:00:00,2016-06-06T21:30:00
30,56193,DSB 112,W,2016-06-08T18:00:00,2016-06-08T21:30:00
31,56193,DSB 112,M,2016-06-13T18:00:00,2016-06-13T21:30:00
32,56193,DSB 112,W,2016-06-15T18:00:00,2016-06-15T21:30:00
33,56193,DSB 112,M,2016-06-20T18:00:00,2016-06-20T21:30:00
34,56193,DSB 112,W,2016-06-22T18:00:00,2016-06-22T21:30:00
35,56193,DSB 112,M,2016-06-27T18:00:00,2016-06-27T21:30:00
36,56193,DSB 112,W,2016-06-29T18:00:00,2016-06-29T21:30:00
37,56193,DSB 112,R,2016-06-02T18:00:00,2016-06-02T21:30:00
38,56194,DSB 106,M,2016-07-18T18:00:00,2016-07-18T21:30:00
