,term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
31,Spring2017,31241,AC 0330,01,3.000,Auditing,"[{'days': 'R', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'DSB 112'}]",['R 0630pm-0900pm 01/17-05/02 DSB 112'],John L.  DeMelis,20,11,9
32,Spring2017,31638,AC 0330,02,3.000,Auditing,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'DSB 112'}]",['MR 0930am-1045am 01/17-05/02 DSB 112'],Paul   Caster,25,25,0
33,Spring2017,31250,AC 0343,01,3.000,Federal Income Taxation I,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '01/17-05/02', 'location': 'DSB 108'}]",['MR 0800am-0915am 01/17-05/02 DSB 108'],Kathi M.  Mettler,25,13,12
34,Spring2017,31953,AC 0343,02,3.000,Federal Income Taxation I,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'DSB 108'}]",['MR 0930am-1045am 01/17-05/02 DSB 108'],Kathi M.  Mettler,25,21,4
35,Spring2017,31639,AC 0344,01,3.000,Individual Taxation: Socioeconomic Applications,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '01/17-05/02', 'location': 'DSB 111'}]",['MW 0500pm-0615pm 01/17-05/02 DSB 111'],Joseph R.  D'Agostin,15,14,1
36,Spring2017,31090,AC 0345,01,3.000,Federal Income Taxation II,"[{'days': 'MW', 'times': '0630pm-0900pm', 'dates': '01/17-03/08', 'location': 'DSB 2109A'}]",['MW 0630pm-0900pm 01/17-03/08 DSB 2109A'],Kathi M.  Mettler,15,11,4
37,Spring2017,32020,AC 0391,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,0,9,-9
38,Spring2017,32981,AC 0392,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,0,0,0
39,Spring2017,32507,AC 0394,01,1.000,Internship,[],[],Sarah Jennie  Bollinger,0,0,0
40,Spring2017,33125,AC 0398,AE,3.000,Independent Study,[],[],Ahmed M.  Ebrahim,0,2,-2
41,Spring2017,33042,AC 0398,DM,3.000,Independent Study,[],[],Dawn W  Massey,0,1,-1
42,Spring2017,33004,AC 0398,JL,3.000,Ind Study: Honors Thesis,[],[],Joan L.  Lee,0,1,-1
43,Spring2017,33076,AC 0398,PC,3.000,Ind Study: Honors Thesis,[],[],Paul   Caster,0,1,-1
44,Spring2017,33070,AC 0398,RB,3.000,Independent Study,[],[],Rebecca I.  Bloch,0,1,-1
45,Spring2017,31827,AC 0500,01,3.000,Accounting Information for Decision-Making,"[{'days': 'W', 'times': '0630pm-0930pm', 'dates': '01/17-05/12', 'location': 'DSB 112'}]",['W 0630pm-0930pm 01/17-05/12 DSB 112'],Michael P.  Coyne,25,23,2
46,Spring2017,31650,AC 0550,01,3.000,Accounting Information Systems and Technology,"[{'days': 'MW', 'times': '0630pm-0930pm', 'dates': '03/27-05/10', 'location': 'DSB 107'}]",['MW 0630pm-0930pm 03/27-05/10 DSB 107'],Bruce   Bradford,25,18,7
47,Spring2017,31828,AC 0555,01,3.000,Issues in Internal Audit,"[{'days': 'R', 'times': '1000am-0600pm', 'dates': '03/16-03/16', 'location': 'DSB 115'}, {'days': 'S', 'times': '1000am-0600pm', 'dates': '03/18-03/18', 'location': 'DSB 115'}, {'days': 'MW', 'times': '0200pm-1000pm', 'dates': '03/20-03/22', 'location': 'NYS 101'}]","['R 1000am-0600pm 03/16-03/16 DSB 115', 'S 1000am-0600pm 03/18-03/18 DSB 115', 'MW 0200pm-1000pm 03/20-03/22 NYS 101']",Dawn W  Massey,15,19,-4
48,Spring2017,31651,AC 0560,01,3.000,Audit Issues in a Global Environment,"[{'days': 'S', 'times': '0930am-0600pm', 'dates': '03/25-03/25', 'location': 'DSB 111'}, {'days': 'M', 'times': '0155pm-0455pm', 'dates': '03/27-05/08', 'location': 'DSB 2109A'}, {'days': 'S', 'times': '0930am-0600pm', 'dates': '04/01-04/01', 'location': 'DSB 111'}, {'days': 'S', 'times': '0930am-0600pm', 'dates': '04/22-04/22', 'location': 'DSB 111'}]","['S 0930am-0600pm 03/25-03/25 DSB 111', 'M 0155pm-0455pm 03/27-05/08 DSB 2109A', 'S 0930am-0600pm 04/01-04/01 DSB 111', 'S 0930am-0600pm 04/22-04/22 DSB 111']",Paul   Caster,15,17,-2
49,Spring2017,31652,AC 0560,02,3.000,Audit Issues in a Global Environment,"[{'days': 'S', 'times': '0930am-0600pm', 'dates': '03/25-03/25', 'location': 'DSB 111'}, {'days': 'T', 'times': '0155pm-0455pm', 'dates': '03/28-05/09', 'location': 'DSB 105'}, {'days': 'S', 'times': '0930am-0600pm', 'dates': '04/01-04/01', 'location': 'DSB 111'}, {'days': 'S', 'times': '0930am-0600pm', 'dates': '04/22-04/22', 'location': 'DSB 111'}]","['S 0930am-0600pm 03/25-03/25 DSB 111', 'T 0155pm-0455pm 03/28-05/09 DSB 105', 'S 0930am-0600pm 04/01-04/01 DSB 111', 'S 0930am-0600pm 04/22-04/22 DSB 111']",Paul   Caster,15,18,-3
50,Spring2017,32744,AC 0585B,01,3.000,Special Topics Seminar: Forensic Accounting,"[{'days': 'W', 'times': '0400pm-0600pm', 'dates': '03/29-03/29', 'location': 'DSB 112'}, {'days': 'T', 'times': '0600pm-1000pm', 'dates': '04/04-04/04', 'location': 'DSB 110B'}, {'days': 'W', 'times': '0930am-0530pm', 'dates': '04/05-04/05', 'location': 'DSB 110B'}, {'days': 'R', 'times': '0200pm-0800pm', 'dates': '04/06-04/06', 'location': 'DSB 105'}, {'days': 'W', 'times': '0400pm-0600pm', 'dates': '04/12-04/12', 'location': 'DSB 112'}, {'days': 'W', 'times': '0930am-0530pm', 'dates': '04/19-04/19', 'location': 'DSB 110B'}, {'days': 'W', 'times': '0400pm-0600pm', 'dates': '04/26-04/26', 'location': 'DSB 112'}, {'days': 'T', 'times': '0600pm-1000pm', 'dates': '05/02-05/02', 'location': 'DSB 110B'}, {'days': 'W', 'times': '0930am-0530pm', 'dates': '05/03-05/03', 'location': 'DSB 110B'}, {'days': 'R', 'times': '0200pm-0800pm', 'dates': '05/04-05/04', 'location': 'DSB 105'}, {'days': 'W', 'times': '0930am-0530pm', 'dates': '05/10-05/10', 'location': 'DSB 110B'}]","['W 0400pm-0600pm 03/29-03/29 DSB 112', 'T 0600pm-1000pm 04/04-04/04 DSB 110B', 'W 0930am-0530pm 04/05-04/05 DSB 110B', 'R 0200pm-0800pm 04/06-04/06 DSB 105', 'W 0400pm-0600pm 04/12-04/12 DSB 112', 'W 0930am-0530pm 04/19-04/19 DSB 110B', 'W 0400pm-0600pm 04/26-04/26 DSB 112', 'T 0600pm-1000pm 05/02-05/02 DSB 110B', 'W 0930am-0530pm 05/03-05/03 DSB 110B', 'R 0200pm-0800pm 05/04-05/04 DSB 105', 'W 0930am-0530pm 05/10-05/10 DSB 110B']",Victor E.  Hartman,20,24,-4
51,Spring2017,32998,AC 0598,DM,3.000,Independent Study in Accounting,[],[],Dawn W  Massey,0,1,-1
52,Spring2017,33066,AS 0399,PB,3.000,Independent Research Project,[],[],Peter L.  Bayers,0,2,-2
53,Spring2017,33119,AS 0404,EH,3.000,American Studies Graduate Project,[],[],Elizabeth   Hohl,0,1,-1
54,Spring2017,33047,AS 0404,JG,3.000,American Studies Graduate Project,[],[],Johanna   Garvey,0,1,-1
55,Spring2017,32787,AS 0484,01,3.000,Battle Over Family Values in American Politics,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'BNW 254'}]",['M 0630pm-0900pm 01/17-05/02 BNW 254'],Gwendoline M.  Alphonso,15,9,6
56,Spring2017,33073,AS 0499,JG,3.000,Independent Study,[],[],Johanna   Garvey,0,1,-1
57,Spring2017,32786,ASEN 0447,01,3.000,Poetry in America,"[{'days': 'T', 'times': '0500pm-0730pm', 'dates': '01/17-05/02', 'location': 'CNS 206'}]",['T 0500pm-0730pm 01/17-05/02 CNS 206'],Elizabeth A.  Petrino,15,8,7
58,Spring2017,33015,ASHI 0415,01,3.000,Inventing Themselves: African-American Women in U.S. History,"[{'days': 'R', 'times': '0500pm-0730pm', 'dates': '01/17-05/02', 'location': 'CNS 305'}]",['R 0500pm-0730pm 01/17-05/02 CNS 305'],Elizabeth   Hohl,1,1,0
59,Spring2017,31414,AY 0010,01,3.000,Introduction to Four-Field Anthropology,"[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '01/17-05/02', 'location': 'CNS 303'}]",['TR 0500pm-0615pm 01/17-05/02 CNS 303'],Marcela   Aliaga,28,14,14
60,Spring2017,31415,AY 0010,02,3.000,Introduction to Four-Field Anthropology,"[{'days': 'TR', 'times': '0630pm-0745pm', 'dates': '01/17-05/02', 'location': 'CNS 303'}]",['TR 0630pm-0745pm 01/17-05/02 CNS 303'],Marcela   Aliaga,28,18,10
61,Spring2017,31618,AY 0110,01,3.000,Biological Anthropology,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/17-05/02', 'location': 'DMH 348'}]",['W 0200pm-0430pm 01/17-05/02 DMH 348'],Blaire   Hensley-Marschand,28,28,0
62,Spring2017,31872,AY 0110,02,3.000,Biological Anthropology,"[{'days': 'W', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'DMH 349'}]",['W 0630pm-0900pm 01/17-05/02 DMH 349'],Blaire   Hensley-Marschand,28,28,0
63,Spring2017,31859,AY 0111,01,3.000,Cultural Anthropology,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/17-05/02', 'location': 'MCA 204'}]",['MR 1100am-1215pm 01/17-05/02 MCA 204'],Alfred   Babo,28,26,2
64,Spring2017,31860,AY 0111,02,3.000,Cultural Anthropology,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/17-05/02', 'location': 'MCA 102'}]",['MR 1230pm-0145pm 01/17-05/02 MCA 102'],Alfred   Babo,30,26,4
65,Spring2017,32652,AY 0111,OL1,3.000,Cultural Anthropology,[],[],Joseph A.  Wilson,20,23,-3
66,Spring2017,32142,AY 0115,01,3.000,Biomedical Anthropology,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'BNW 340'}]",['M 0630pm-0900pm 01/17-05/02 BNW 340'],Gary P.  Aronsen,24,21,3
67,Spring2017,32653,AY 0115,02,3.000,Biomedical Anthropology,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'CNS 104'}]",['T 0630pm-0900pm 01/17-05/02 CNS 104'],Gary P.  Aronsen,24,17,7
68,Spring2017,32143,AY 0180,OL1,3.000,Grant Writing for the Social Sciences,[],[],David   Crawford,24,14,10
69,Spring2017,32654,AY 0189,01,3.000,Theory and Practive in Anthropology,"[{'days': 'W', 'times': '0800am-1030am', 'dates': '01/17-05/02', 'location': 'DMH 331'}]",['W 0800am-1030am 01/17-05/02 DMH 331'],David   Crawford,25,12,13
70,Spring2017,32144,AY 0200,01,3.000,Anthropological Research Methods,"[{'days': 'T', 'times': '0500pm-0730pm', 'dates': '01/17-05/02', 'location': 'CNS 5'}]",['T 0500pm-0730pm 01/17-05/02 CNS 5'],Alfred   Babo,16,7,9
71,Spring2017,32670,AY 0390A,01,3.000,Special Topics: Introduction to Archaeology,"[{'days': 'R', 'times': '0500pm-0730pm', 'dates': '01/17-05/02', 'location': 'CNS 106'}]",['R 0500pm-0730pm 01/17-05/02 CNS 106'],Joseph A.  Wilson,24,12,12
72,Spring2017,31271,AE 0262,01,3.000,Ethics and the Community,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/17-05/02', 'location': 'DSB 108'}]",['W 0200pm-0430pm 01/17-05/02 DSB 108'],Robert A.  Liftig,30,31,-1
73,Spring2017,31719,AE 0265,01,3.000,Ethics in Education,"[{'days': 'TR', 'times': '0500pm-0615pm', 'dates': '01/17-05/02', 'location': 'DSB 108'}]",['TR 0500pm-0615pm 01/17-05/02 DSB 108'],Robert A.  Liftig,30,28,2
74,Spring2017,31336,AE 0276,01,3.000,Ethical Dimensions of Global Business Practices,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/17-05/02', 'location': 'DSB 110B'}]",['MR 0930am-1045am 01/17-05/02 DSB 110B'],Robert B.  Day,30,27,3
75,Spring2017,31272,AE 0281,01,3.000,Ethics of Communications,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'CNS 304'}]",['T 0630pm-0900pm 01/17-05/02 CNS 304'],Barry   Butler,30,31,-1
76,Spring2017,32269,AE 0284,01,3.000,Environmental Ethics,"[{'days': 'F', 'times': '0200pm-0430pm', 'dates': '01/17-05/02', 'location': 'DMH 149'}]",['F 0200pm-0430pm 01/17-05/02 DMH 149'],Toby J.  Svoboda,30,26,4
77,Spring2017,31176,AE 0285,01,3.000,Ethics of Health Care,"[{'days': 'MW', 'times': '0500pm-0615pm', 'dates': '01/17-05/02', 'location': 'DSB 110A'}]",['MW 0500pm-0615pm 01/17-05/02 DSB 110A'],Curtis R.  Naser,30,30,0
78,Spring2017,32416,AE 0285,02,3.000,Ethics of Health Care,"[{'days': 'T', 'times': '0500pm-0730pm', 'dates': '01/17-05/02', 'location': 'DMH 349'}]",['T 0500pm-0730pm 01/17-05/02 DMH 349'],Richard L.  Newman,30,30,0
79,Spring2017,31186,AE 0287,01,3.000,Engineering Ethics,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/17-05/02', 'location': 'DMH 347'}]",['MR 0200pm-0315pm 01/17-05/02 DMH 347'],David P.  Schmidt,30,30,0
80,Spring2017,31126,AE 0291,01,3.000,Business Ethics,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/17-05/02', 'location': 'CNS 1'}]",['T 0630pm-0900pm 01/17-05/02 CNS 1'],Scott W.  Ventrella,30,29,1
81,Spring2017,32270,AE 0291,02,3.000,Business Ethics,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/17-05/02', 'location': 'DSB 107'}]",['MR 1230pm-0145pm 01/17-05/02 DSB 107'],Joan L.  Lee,21,27,-6
