,crn,location,day,start,end
0,37364,DSB 109,R,2019-01-24T09:30:00,2019-01-24T10:45:00
1,37364,DSB 109,M,2019-01-28T09:30:00,2019-01-28T10:45:00
2,37364,DSB 109,R,2019-01-31T09:30:00,2019-01-31T10:45:00
3,37364,DSB 109,M,2019-02-04T09:30:00,2019-02-04T10:45:00
4,37364,DSB 109,R,2019-02-07T09:30:00,2019-02-07T10:45:00
5,37364,DSB 109,M,2019-02-11T09:30:00,2019-02-11T10:45:00
6,37364,DSB 109,R,2019-02-14T09:30:00,2019-02-14T10:45:00
7,37364,DSB 109,R,2019-02-21T09:30:00,2019-02-21T10:45:00
8,37364,DSB 109,M,2019-02-25T09:30:00,2019-02-25T10:45:00
9,37364,DSB 109,R,2019-02-28T09:30:00,2019-02-28T10:45:00
10,37364,DSB 109,M,2019-03-04T09:30:00,2019-03-04T10:45:00
11,37364,DSB 109,R,2019-03-07T09:30:00,2019-03-07T10:45:00
12,37364,DSB 109,M,2019-03-11T09:30:00,2019-03-11T10:45:00
13,37364,DSB 109,R,2019-03-14T09:30:00,2019-03-14T10:45:00
14,37364,DSB 109,M,2019-03-25T09:30:00,2019-03-25T10:45:00
15,37364,DSB 109,R,2019-03-28T09:30:00,2019-03-28T10:45:00
16,37364,DSB 109,M,2019-04-01T09:30:00,2019-04-01T10:45:00
17,37364,DSB 109,R,2019-04-04T09:30:00,2019-04-04T10:45:00
18,37364,DSB 109,M,2019-04-08T09:30:00,2019-04-08T10:45:00
19,37364,DSB 109,R,2019-04-11T09:30:00,2019-04-11T10:45:00
20,37364,DSB 109,M,2019-04-15T09:30:00,2019-04-15T10:45:00
21,37364,DSB 109,R,2019-04-18T09:30:00,2019-04-18T10:45:00
22,37364,DSB 109,M,2019-04-22T09:30:00,2019-04-22T10:45:00
23,37364,DSB 109,R,2019-04-25T09:30:00,2019-04-25T10:45:00
24,37364,DSB 109,M,2019-04-29T09:30:00,2019-04-29T10:45:00
25,37364,DSB 109,T,2019-02-19T09:30:00,2019-02-19T10:45:00
26,37723,DSB 109,R,2019-01-24T11:00:00,2019-01-24T12:15:00
27,37723,DSB 109,M,2019-01-28T11:00:00,2019-01-28T12:15:00
28,37723,DSB 109,R,2019-01-31T11:00:00,2019-01-31T12:15:00
29,37723,DSB 109,M,2019-02-04T11:00:00,2019-02-04T12:15:00
30,37723,DSB 109,R,2019-02-07T11:00:00,2019-02-07T12:15:00
31,37723,DSB 109,M,2019-02-11T11:00:00,2019-02-11T12:15:00
32,37723,DSB 109,R,2019-02-14T11:00:00,2019-02-14T12:15:00
33,37723,DSB 109,R,2019-02-21T11:00:00,2019-02-21T12:15:00
34,37723,DSB 109,M,2019-02-25T11:00:00,2019-02-25T12:15:00
35,37723,DSB 109,R,2019-02-28T11:00:00,2019-02-28T12:15:00
36,37723,DSB 109,M,2019-03-04T11:00:00,2019-03-04T12:15:00
37,37723,DSB 109,R,2019-03-07T11:00:00,2019-03-07T12:15:00
38,37723,DSB 109,M,2019-03-11T11:00:00,2019-03-11T12:15:00
39,37723,DSB 109,R,2019-03-14T11:00:00,2019-03-14T12:15:00
